renda_mensal,idade,score_credito,tempo_emprego_anos,divida_renda_ratio,num_emprestimos_ativos,historico_atraso,valor_emprestimo,renda_anual,cor_favorita_cod,num_pets,altura_cm,dia_nascimento,codigo_postal,feature_constante,feature_quase_cte,aprovado
5121,44,817,17.1,0.781,3,1,11362,61222,4,0,148.3,16,67029,5,0,1
2598,42,345,4.2,0.229,1,0,14812,31489,2,1,166.6,23,36047,5,0,1
6529,27,623,10.0,0.339,1,0,14449,78277,5,1,157.5,29,49043,5,0,1
2830,64,807,0.8,0.52,1,0,3074,34126,0,1,184.9,28,56442,5,0,1
12456,40,656,4.2,0.02,3,0,18032,149099,2,2,178.0,3,71378,5,0,1
3071,38,401,10.1,0.648,3,0,3646,36888,1,1,171.5,8,35943,5,0,0
4051,38,411,4.4,0.429,1,0,7933,48061,6,1,165.9,2,44487,5,0,1
8007,60,205,6.3,0.223,2,0,2220,95791,8,1,174.2,29,84769,5,0,1
2348,30,823,2.3,0.049,2,0,7019,28199,3,0,160.4,24,79023,5,0,1
5633,54,575,0.5,0.13,2,0,3630,67224,6,0,172.8,2,34559,5,0,1
10767,50,646,3.1,0.716,1,1,5658,129005,7,0,168.8,23,81380,5,0,0
1873,41,305,2.5,0.549,2,1,8500,22855,9,1,161.8,18,51519,5,0,0
5490,61,850,10.1,0.2,2,1,15705,65731,1,2,177.0,7,21416,5,0,1
5744,28,600,1.4,0.052,0,0,15280,68745,6,1,188.9,17,32859,5,0,1
7856,34,295,17.0,0.552,3,1,1249,93827,2,1,155.7,6,97789,5,0,0
2339,21,587,15.9,0.458,1,0,13941,27807,7,0,179.4,10,28184,5,0,1
2225,64,651,1.4,0.324,4,0,9556,26696,5,0,161.9,7,37846,5,0,1
6722,42,615,2.1,0.291,3,1,5176,80980,2,3,175.8,4,52771,5,0,1
5873,47,703,11.3,0.173,4,1,4006,69708,7,2,163.8,11,96995,5,0,1
5711,26,653,17.0,0.536,3,0,7708,68933,2,1,167.0,16,25498,5,0,1
6050,38,490,2.9,0.777,0,0,9744,72409,8,3,168.0,27,79798,5,0,0
3268,37,733,1.9,0.141,2,0,10963,39168,2,1,183.6,17,42914,5,0,1
5649,36,392,3.7,0.478,2,0,6919,68140,0,2,169.1,28,62980,5,0,0
5859,36,349,5.8,0.339,1,1,1075,71420,1,0,166.6,6,55500,5,0,1
3201,29,714,1.6,0.357,1,0,5452,38684,3,1,169.2,20,44885,5,0,1
15054,54,592,6.7,0.203,1,1,3143,180402,1,0,189.0,31,48215,5,0,1
6530,59,515,0.3,0.66,4,0,41947,78452,3,2,175.6,19,74320,5,0,0
2404,34,275,0.3,0.388,1,1,8496,29058,3,1,163.9,20,96934,5,0,0
7287,54,798,2.4,0.435,2,1,14660,86742,3,0,185.0,22,39924,5,0,1
2738,65,469,2.2,0.244,0,0,13468,32314,0,2,171.8,21,65099,5,0,1
7881,56,424,1.9,0.145,1,0,10386,94773,8,1,161.4,18,73113,5,0,1
9849,45,729,3.4,0.069,4,1,5808,118452,9,2,173.9,15,10318,5,0,1
3003,58,312,1.9,0.571,0,0,5244,36225,6,2,168.5,2,87697,5,0,0
8760,52,450,1.1,0.157,2,0,1609,105445,1,0,136.2,19,87859,5,0,1
6295,64,432,1.9,0.552,0,0,9079,75354,2,1,173.3,27,15749,5,0,0
8048,65,282,18.4,0.312,3,0,10304,97116,7,0,159.2,6,19528,5,0,1
15337,35,324,2.6,0.333,2,1,7798,184954,6,1,157.3,12,31441,5,0,0
4241,31,374,2.9,0.375,2,0,9088,50569,3,0,150.6,30,18526,5,0,0
3126,52,268,4.3,0.294,2,1,3086,36882,3,3,171.3,1,47161,5,0,1
2882,61,246,20.5,0.08,1,0,6404,34547,8,1,168.5,27,11044,5,0,0
3012,58,455,1.4,0.248,2,1,4818,36583,4,1,179.5,23,88301,5,0,0
4692,24,229,5.7,0.531,2,0,13794,56634,4,0,162.0,24,28175,5,0,0
6031,58,480,6.3,0.533,3,0,8373,72443,6,2,165.2,23,58887,5,0,0
5802,30,436,4.7,0.229,3,0,4856,68468,0,1,189.8,11,61671,5,0,1
8073,35,447,0.5,0.368,1,1,7129,96529,2,1,150.3,19,10961,5,0,0
4953,54,567,5.6,0.155,3,0,3527,59988,1,0,182.2,22,79285,5,0,1
11756,30,694,0.3,0.168,3,1,6232,140199,9,2,162.2,31,61966,5,0,1
4193,53,224,4.5,0.018,4,0,12915,50326,5,1,201.1,30,26973,5,0,1
25137,48,785,6.7,0.717,0,0,2791,301357,5,1,177.2,4,93908,5,0,1
7153,19,689,1.2,0.169,1,1,7716,86162,9,1,163.7,21,53393,5,0,1
2938,33,693,9.2,0.182,0,0,4447,34422,0,3,156.1,19,48433,5,0,1
2584,26,513,0.2,0.224,1,0,2792,30857,5,1,174.1,21,80077,5,0,1
6564,26,805,9.3,0.102,0,0,36034,78846,9,1,150.9,6,40678,5,0,1
4298,55,574,3.1,0.511,2,0,22093,51400,1,1,176.9,8,28344,5,0,1
7543,28,838,1.2,0.06,5,0,5021,90817,3,0,156.1,28,55154,5,0,1
6528,39,224,0.7,0.107,0,0,6426,77565,5,2,160.3,22,18846,5,0,0
4704,50,533,15.3,0.516,6,0,1607,55886,2,0,142.0,9,43846,5,0,1
2956,53,554,0.4,0.272,0,1,2266,35308,2,0,171.3,31,80565,5,0,0
1980,62,315,1.1,0.566,4,1,3286,23928,2,2,172.8,10,68802,5,0,0
3759,40,247,2.1,0.446,2,0,7888,45364,3,3,170.3,10,26272,5,0,1
8216,62,298,4.8,0.205,3,0,7392,98678,8,1,152.8,30,58613,5,0,1
5588,62,658,3.9,0.521,1,0,10565,66596,3,1,184.3,10,99306,5,0,1
2327,51,722,0.7,0.093,4,1,13945,27625,3,2,168.4,26,23104,5,0,1
5452,26,796,1.7,0.429,2,0,10121,65976,3,2,164.8,4,25855,5,0,1
6193,41,604,1.4,0.35,1,0,3411,75326,6,0,178.0,18,47524,5,0,1
2891,25,413,1.2,0.214,0,1,10500,34996,4,0,165.6,12,76455,5,0,0
5389,24,884,2.6,0.483,3,0,13470,64840,1,3,174.4,25,52706,5,0,1
5089,53,702,6.1,0.697,4,1,5757,60491,6,1,162.2,11,44526,5,0,0
2475,35,647,1.2,0.799,2,0,1849,29798,2,1,178.2,16,19363,5,0,0
6091,20,775,2.3,0.486,4,0,20894,72249,0,1,177.9,19,62430,5,0,1
6880,45,457,2.5,0.324,3,1,8696,83216,8,1,165.5,11,59511,5,0,0
9412,23,320,18.7,0.18,2,0,881,113224,4,0,171.5,23,66738,5,0,1
9249,61,253,15.5,0.206,5,1,42455,110959,9,1,169.8,4,89791,5,0,0
2150,61,530,8.1,0.384,1,0,5524,25220,0,0,168.7,12,79346,5,0,1
2799,38,440,1.4,0.294,2,1,57023,33678,0,1,158.1,28,11440,5,0,0
6694,45,729,0.4,0.731,2,0,10958,79576,0,1,159.5,17,77255,5,0,1
6689,57,682,1.9,0.295,1,0,6890,80110,8,0,166.1,24,54213,5,0,1
6694,18,386,1.6,0.299,0,0,9385,80535,7,3,170.7,13,10555,5,0,0
49594,53,855,3.5,0.307,3,0,4594,594771,5,0,161.2,28,87648,5,0,1
6922,38,461,7.5,0.669,3,0,8510,83043,9,0,170.1,4,77833,5,0,0
9714,60,563,9.8,0.521,3,0,40477,117733,5,0,147.1,27,11535,5,0,1
8711,52,690,9.3,0.491,2,0,3948,103637,5,2,170.0,6,24931,5,0,1
7265,30,630,2.2,0.267,3,0,12415,86793,3,0,170.8,7,81818,5,0,1
4067,66,438,5.8,0.654,3,0,4555,48674,4,3,178.2,8,54262,5,0,0
7749,27,503,1.9,0.031,0,0,7083,92722,9,1,184.2,26,34587,5,0,1
3091,61,497,0.3,0.697,1,0,39390,37318,2,0,176.8,2,43040,5,0,0
4263,64,275,6.0,0.41,4,1,12347,51426,2,0,188.0,9,55543,5,0,0
3673,27,899,0.0,0.319,1,0,14713,44098,9,0,169.7,10,99177,5,0,1
5162,63,532,2.6,0.398,2,0,8575,62012,6,2,170.5,29,36573,5,0,1
19708,30,841,2.0,0.534,3,0,70009,235597,4,1,178.1,19,80680,5,0,1
1603,54,673,5.9,0.01,1,1,3790,19472,7,1,168.9,1,67262,5,0,1
7418,55,482,7.3,0.697,1,0,2290,89112,4,1,166.7,16,11688,5,0,0
1867,41,790,1.8,0.357,4,0,31219,22057,3,3,183.7,18,93515,5,0,1
3702,19,271,8.3,0.274,5,0,5971,45233,2,3,177.2,8,41803,5,0,0
9446,39,462,1.7,0.111,1,0,11250,113315,1,3,176.6,10,26154,5,0,0
5108,34,774,3.0,0.352,1,1,31987,61408,2,1,161.4,22,90659,5,0,1
2574,53,211,6.5,0.397,5,0,11371,30867,6,0,179.4,11,33998,5,0,0
3199,31,340,5.9,0.323,0,0,48274,37562,7,0,170.8,17,15786,5,0,0
7389,27,754,21.9,0.543,2,1,9035,88161,4,2,160.1,27,69059,5,0,1
3170,52,216,1.3,0.337,1,0,4598,37901,0,1,177.0,25,80665,5,0,1
5596,42,262,5.4,0.769,2,1,1233,67643,2,1,158.0,31,35777,5,0,1
5051,20,452,4.7,0.479,2,0,10305,60383,3,0,145.9,7,78381,5,0,0
3324,64,664,12.3,0.646,1,1,1354,39990,9,1,151.9,26,83984,5,0,1
17789,55,575,0.9,0.087,3,1,10506,213695,3,2,167.5,27,65290,5,0,1
7189,34,719,7.0,0.318,3,0,26046,85868,0,2,185.4,3,37139,5,0,1
1458,29,289,4.2,0.269,3,1,7993,17028,9,0,173.1,29,97254,5,0,0
5496,69,829,1.6,0.456,1,0,9434,65612,8,2,169.0,7,59030,5,0,1
3304,41,374,3.2,0.689,0,0,16857,39276,9,0,183.2,6,33581,5,0,0
8196,46,275,2.0,0.063,2,0,13844,97808,3,0,175.1,3,37993,5,0,1
3054,60,812,4.3,0.058,1,0,20504,37079,1,2,180.2,8,52048,5,0,1
4587,42,862,11.0,0.68,4,1,7979,55336,8,0,179.7,1,22923,5,0,1
6654,53,599,4.2,0.17,4,0,1338,79306,3,1,166.9,5,23084,5,0,1
8262,43,270,5.0,0.535,1,1,20760,99227,3,0,167.7,24,93096,5,0,0
2391,55,379,3.7,0.434,0,0,6693,28530,5,1,161.7,19,32567,5,0,0
4021,18,323,0.3,0.666,2,0,4012,48192,7,4,178.3,27,29481,5,0,0
3696,37,580,1.3,0.1,2,0,10601,44368,4,0,157.7,13,21422,5,0,1
3320,45,492,3.4,0.104,4,0,9407,39100,7,3,161.1,26,77260,5,0,0
14175,33,394,1.9,0.445,1,1,4448,169104,0,0,169.3,11,78164,5,0,0
6266,64,427,1.0,0.757,1,1,2897,75202,3,1,171.1,28,65296,5,0,0
2306,34,630,3.5,0.332,2,1,11786,27477,0,0,175.9,22,37875,5,0,1
8524,57,635,1.9,0.262,6,1,4105,102176,2,0,169.6,26,27734,5,0,0
17558,45,660,1.5,0.485,1,0,8879,210371,6,3,166.4,11,99645,5,0,1
9131,29,817,3.1,0.744,0,0,10924,109565,0,0,177.2,2,76155,5,0,1
1975,44,220,0.7,0.67,1,0,17580,22861,4,1,179.1,9,61700,5,0,0
3675,59,263,13.1,0.796,1,0,44147,44113,0,1,153.0,2,23786,5,0,0
10510,64,364,10.1,0.018,0,0,9796,124840,5,0,180.7,21,64395,5,0,1
3214,47,226,6.1,0.09,1,0,5765,38198,8,0,166.7,19,75171,5,0,1
6414,58,510,0.6,0.488,1,0,30538,76725,2,1,186.0,26,97463,5,0,1
7822,51,484,7.5,0.656,4,0,18741,92942,5,0,163.5,12,74763,5,0,0
2818,54,859,8.3,0.228,6,1,9271,34447,3,0,160.1,9,85265,5,0,1
4742,23,480,7.3,0.191,1,0,9790,56854,5,1,176.5,9,97773,5,0,1
702,24,363,0.6,0.63,1,0,8279,8044,1,1,191.3,23,70922,5,0,0
2658,49,423,5.2,0.045,1,0,9225,32836,3,1,153.8,10,45301,5,0,1
4223,49,345,9.0,0.296,2,1,7468,50786,6,1,178.4,5,70998,5,0,1
2324,42,229,4.3,0.405,0,1,3715,28062,5,2,175.6,9,69724,5,0,0
13087,50,244,5.2,0.448,5,0,8160,156923,8,0,169.7,23,68976,5,0,0
2083,24,670,3.1,0.583,2,0,33051,24717,6,1,190.7,18,31735,5,0,1
3774,69,233,3.8,0.284,2,1,4218,45382,0,2,150.9,10,93485,5,0,1
5315,29,852,0.2,0.49,1,0,6522,62352,5,0,181.1,17,30509,5,0,0
11669,33,626,5.1,0.468,1,1,3969,139082,2,2,179.7,26,79804,5,0,1
2076,33,420,0.4,0.438,1,1,20452,24149,7,0,182.0,10,45607,5,0,0
9876,60,733,2.9,0.512,6,0,15736,117305,0,0,180.7,14,54507,5,0,1
4945,53,891,1.7,0.208,2,0,2914,59562,9,1,172.4,4,62540,5,0,1
2727,30,566,3.9,0.068,1,0,1611,32328,1,0,166.9,10,50944,5,0,1
6485,24,749,0.7,0.095,0,0,16196,78388,2,0,163.9,24,49308,5,0,1
5538,53,781,5.9,0.18,4,1,2775,66310,2,0,175.9,22,22412,5,0,1
3428,64,315,7.9,0.4,0,1,15718,40656,6,1,169.9,30,66399,5,0,0
5124,68,438,0.9,0.672,4,1,4863,61371,7,0,167.9,18,37150,5,0,0
3900,26,534,0.6,0.561,1,0,14129,47272,8,2,164.5,5,81178,5,0,1
5261,49,640,0.8,0.631,3,0,11559,62923,6,1,165.9,9,68763,5,0,1
7312,28,347,10.5,0.281,2,0,5275,88284,7,0,177.8,6,85605,5,0,1
12728,25,208,3.8,0.324,2,0,4011,153201,5,2,170.2,16,41832,5,0,1
2338,50,487,3.1,0.315,3,0,12844,27686,1,0,182.1,22,76562,5,0,1
17673,40,587,0.6,0.153,1,0,4656,211747,0,4,156.5,23,79128,5,0,1
1523,42,249,5.2,0.049,1,0,19676,17920,2,0,176.2,16,76523,5,0,0
4486,25,716,10.1,0.473,1,1,4163,53145,8,1,159.9,29,91453,5,0,1
6995,62,837,8.8,0.791,2,0,10724,83112,6,1,182.1,11,17238,5,0,1
5817,39,786,4.9,0.133,1,1,5930,69470,1,1,182.4,21,83866,5,0,1
3382,21,876,0.4,0.037,1,0,8140,39281,0,1,155.9,15,70930,5,0,1
4337,57,477,0.6,0.624,1,0,4626,51390,1,3,162.3,19,15650,5,0,0
3656,20,499,0.3,0.202,3,1,7024,44023,2,2,162.8,3,47264,5,0,1
3450,46,788,1.5,0.664,6,1,1043,40613,5,1,182.6,16,59588,5,0,0
8182,58,848,0.7,0.563,2,0,4228,98732,8,0,164.1,21,27807,5,0,1
6088,46,817,1.5,0.757,0,0,5063,73258,7,1,176.9,20,35712,5,0,1
3243,51,806,2.4,0.327,0,0,7650,39746,9,1,163.4,5,72915,5,0,1
8431,51,334,14.3,0.53,3,0,22800,102107,8,2,180.8,30,64826,5,0,0
5909,45,779,4.7,0.372,3,1,4636,71181,7,1,181.7,9,37865,5,0,1
8004,30,346,9.0,0.504,4,0,25114,95655,6,2,186.7,5,11145,5,0,1
7170,32,689,6.2,0.36,2,0,4067,85112,5,1,168.3,4,97499,5,0,1
2988,40,677,0.6,0.151,0,1,3339,35020,7,1,170.0,13,84836,5,0,0
3511,61,358,6.7,0.406,2,0,1794,43014,5,0,168.6,20,96415,5,0,1
7695,43,583,1.6,0.423,3,0,13166,91494,1,2,170.3,17,65651,5,0,1
7088,21,362,5.1,0.648,2,0,8680,84848,8,1,165.7,26,16242,5,0,0
4853,43,640,2.1,0.588,1,0,12556,58738,8,2,180.6,20,23832,5,0,1
5273,57,388,30.3,0.531,2,0,9002,62739,2,1,162.4,12,74005,5,1,1
10578,26,614,1.5,0.091,2,0,8043,127496,8,0,168.6,30,69328,5,0,1
3446,22,538,1.6,0.576,1,0,10173,41220,1,3,171.9,20,89821,5,0,1
6824,49,806,13.3,0.4,1,1,45341,81898,2,2,174.9,25,84633,5,0,1
4353,37,380,0.1,0.715,4,1,5546,51993,5,1,158.1,27,57852,5,0,0
4313,67,487,6.0,0.736,2,0,41917,51197,3,0,167.5,20,11992,5,0,1
9502,28,386,6.5,0.044,4,0,16024,114272,7,1,170.2,7,46890,5,0,1
