customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_months,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharge,ChargesRatio,Country,ActiveService,PromoCode2019,Currency,Churn,LegacyPlanCode,InternalScore
CUST-00032,Female,0,No,No,26,25,Yes,Yes,No,,,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.13,741.74,28.53,3.7873,Brazil,1,0,BRL,No,,
CUST-00033,Female,0,Yes,No,26,26,No,No phone service,DSL,Yes,No,No,No,No,Two year,No,Electronic check,56.48,1444.2,55.55,3.9081,Brazil,1,0,BRL,No,,
CUST-00034,Female,0,Yes,Yes,17,17,Yes,No,DSL,Yes,,No,Yes,No,Month-to-month,No,Electronic check,67.81,1199.7,70.57,5.6475,Brazil,1,0,BRL,No,,50.1
CUST-00035,Male,0,Yes,No,54,53,Yes,No,Fiber optic,Yes,No,No,No,No,One year,No,Bank transfer,88.61,4769.03,88.32,1.8576,Brazil,1,0,BRL,Yes,LP002,
CUST-00036,Female,0,Yes,No,9,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Mailed check,72.47,627.33,69.7,11.5337,Brazil,1,0,BRL,Yes,,
CUST-00037,Male,0,No,No,17,16,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,42.87,748.47,44.03,5.72,Brazil,1,0,BRL,No,,
CUST-00038,Male,0,Yes,No,23,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,24.56,,28.07,3.7987,Brazil,1,0,BRL,No,,
CUST-00039,Male,0,No,No,32,31,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,No,Credit card,97.11,3150.2,98.44,3.0817,Brazil,1,0,BRL,No,,
CUST-00040,Male,0,Yes,No,45,45,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.15,3950.1,87.78,2.2057,Brazil,1,0,BRL,No,,
CUST-00041,Male,0,No,No,15,16,Yes,No,DSL,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,69.24,,78.41,5.882,Brazil,1,0,BRL,Yes,,
CUST-00042,Female,0,Yes,Yes,31,31,Yes,Yes,DSL,No,,No,No,No,Two year,No,Credit card,45.83,1384.11,44.65,3.3088,Brazil,1,0,BRL,No,,
CUST-00043,Female,0,Yes,No,4,4,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Credit card,82.01,290.3,72.58,28.1531,Brazil,1,0,BRL,No,,
CUST-00044,Female,1,No,No,72,72,Yes,Yes,Fiber optic,No,,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.97,5981.12,83.07,1.387,Brazil,1,0,BRL,No,,
CUST-00045,Female,0,No,No,14,14,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,77.07,1154.73,82.48,6.6685,Brazil,1,0,BRL,No,,
CUST-00046,Female,0,Yes,No,39,39,Yes,No,DSL,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,55.82,2129.9,54.61,2.6196,Brazil,1,0,BRL,No,,
CUST-00047,Male,0,Yes,No,1,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,One year,Yes,Mailed check,96.41,184.14,184.14,52.0741,Brazil,1,0,BRL,No,,
CUST-00048,Female,1,Yes,No,6,6,Yes,No,Fiber optic,No,No,Yes,No,No,Two year,Yes,Credit card,90.46,470.8,78.47,19.1734,Brazil,1,0,BRL,Yes,,
CUST-00049,Female,0,Yes,No,20,20,Yes,Yes,DSL,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,29.54,584.74,29.24,5.0432,Brazil,1,0,BRL,No,,32.5
CUST-00050,Male,1,Yes,Yes,63,63,Yes,No,DSL,No,No,No,No,Yes,Two year,Yes,Credit card,49.96,3156.15,50.1,1.5824,Brazil,1,0,BRL,No,,74.0
CUST-00051,Female,0,No,No,22,21,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.87,1229.01,55.86,4.7048,Brazil,1,0,BRL,Yes,LP001,
CUST-00052,Male,1,Yes,Yes,72,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,26.25,1858.94,25.82,1.4113,Brazil,1,0,BRL,No,,
CUST-00053,Female,0,Yes,Yes,19,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,19.13,403.3,21.23,4.7316,Brazil,1,0,BRL,No,,
CUST-00054,Male,1,No,No,20,20,Yes,No,Fiber optic,,Yes,No,No,No,One year,No,Electronic check,83.02,1732.48,86.62,4.7892,Brazil,1,0,BRL,Yes,LP002,
CUST-00055,Female,0,No,No,3,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,26.01,0.0,0.0,2601.0,Brazil,1,0,BRL,No,,
CUST-00056,Female,0,No,No,48,49,Yes,No,Fiber optic,No,No,No,Yes,No,Two year,No,Electronic check,101.03,4858.45,101.22,2.079,Brazil,1,0,BRL,No,,
CUST-00057,Male,0,Yes,Yes,8,9,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,56.29,444.65,55.58,12.631,Brazil,1,0,BRL,Yes,,
CUST-00058,Male,0,Yes,No,68,68,Yes,No,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,56.54,3850.09,56.62,1.4682,Brazil,1,0,BRL,No,LP002,
CUST-00059,Male,0,No,No,72,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.14,2442.24,33.92,1.3973,Brazil,1,0,BRL,No,,
CUST-00060,Male,1,Yes,No,72,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,Two year,No,Credit card,93.51,6668.2,92.61,1.4021,Brazil,1,0,BRL,No,,
CUST-00061,Male,1,Yes,No,22,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.03,715.77,32.53,4.0501,Brazil,1,0,BRL,No,,
CUST-00062,Male,0,No,No,33,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.71,,27.47,2.8334,Brazil,1,0,BRL,No,,
CUST-00063,Male,0,No,No,45,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,No,Credit card,90.81,4081.25,90.69,2.2245,Brazil,1,0,BRL,No,LP002,
CUST-00064,Male,0,No,No,4,4,Yes,No,DSL,,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.24,132.54,33.14,29.3845,Brazil,1,0,BRL,No,,
CUST-00065,Female,0,Yes,Yes,27,28,Yes,No,DSL,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,59.34,1571.71,58.21,3.7731,Brazil,1,0,BRL,No,,
CUST-00066,Female,0,Yes,No,1,1,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,63.08,,0.0,6308.0,Brazil,1,0,BRL,Yes,,53.5
CUST-00067,Male,0,No,No,20,19,Yes,No,DSL,,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.82,1154.09,57.7,4.9191,Brazil,1,0,BRL,No,LP001,
CUST-00068,Female,0,Yes,No,5,6,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Credit card,58.1,329.52,65.9,17.5784,Brazil,1,0,BRL,No,,49.4
CUST-00069,Female,0,No,Yes,6,7,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,63.92,390.42,65.07,16.3303,Brazil,1,0,BRL,No,LP002,
CUST-00070,Female,0,No,No,13,13,No,No phone service,DSL,Yes,,Yes,No,No,Two year,Yes,Mailed check,52.14,673.5,51.81,7.7302,Brazil,1,0,BRL,No,,
CUST-00071,Female,0,No,No,16,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,One year,No,Credit card,50.5,814.67,50.92,6.1912,Brazil,1,0,BRL,No,,
CUST-00072,Male,0,Yes,No,29,29,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,71.52,2031.42,70.05,3.519,Brazil,1,0,BRL,No,,
CUST-00073,Female,0,Yes,Yes,2,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.76,138.54,69.27,58.5925,Brazil,1,0,BRL,No,LP002,57.2
CUST-00074,Male,1,No,No,21,21,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,103.89,2173.37,103.49,4.7779,Brazil,1,0,BRL,No,,
CUST-00075,Female,0,No,No,6,6,Yes,Yes,Fiber optic,Yes,,No,Yes,Yes,One year,Yes,Bank transfer,73.75,477.33,79.55,15.4182,Brazil,1,0,BRL,Yes,,
CUST-00076,Female,0,No,No,25,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,24.74,687.44,27.5,3.5936,Brazil,1,0,BRL,No,,51.6
CUST-00077,Female,0,Yes,Yes,30,31,Yes,Yes,DSL,No,No,No,Yes,No,Two year,Yes,Bank transfer,85.28,2546.94,84.9,3.347,Brazil,1,0,BRL,No,LP002,50.4
CUST-00078,Male,0,Yes,No,24,24,Yes,No,DSL,Yes,No,No,No,No,One year,Yes,Credit card,32.37,724.64,30.19,4.4609,Brazil,1,0,BRL,No,,
CUST-00079,Female,1,No,No,40,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,25.97,1040.58,26.01,2.4933,Brazil,1,0,BRL,No,LP002,
CUST-00080,Male,0,No,Yes,12,12,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Electronic check,73.24,979.45,81.62,7.47,Brazil,1,0,BRL,Yes,LP001,
CUST-00081,Female,0,No,Yes,43,43,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.79,1061.08,24.68,2.4283,Brazil,1,0,BRL,No,,
CUST-00082,Male,0,Yes,No,17,17,Yes,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,32.54,597.47,35.15,5.4372,Brazil,1,0,BRL,No,,
CUST-00083,Female,1,No,Yes,19,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,24.74,536.86,28.26,4.5997,Brazil,1,0,BRL,Yes,,
CUST-00084,Male,1,No,Yes,31,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.67,870.77,28.09,3.2887,Brazil,1,0,BRL,No,,
CUST-00085,Male,0,No,No,1,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.17,14.13,14.13,324.9835,Brazil,1,0,BRL,No,,
CUST-00086,Female,0,Yes,No,31,31,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,No,Mailed check,45.21,1430.26,46.14,3.1588,Brazil,1,0,BRL,No,,
CUST-00087,Male,0,Yes,Yes,28,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,26.75,766.66,27.38,3.4846,Brazil,1,0,BRL,No,,
CUST-00088,Female,1,No,No,11,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,31.07,376.51,34.23,8.2302,Brazil,1,0,BRL,No,,
CUST-00089,Female,0,Yes,Yes,2,2,Yes,No,Fiber optic,No,No,No,No,No,One year,No,Mailed check,94.04,291.77,145.88,32.1208,Brazil,1,0,BRL,No,,
CUST-00090,Female,1,Yes,Yes,2,2,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,Electronic check,62.11,132.57,66.28,46.5,Brazil,1,0,BRL,No,,
CUST-00091,Female,0,No,Yes,72,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.16,1607.91,22.33,1.4395,Brazil,1,0,BRL,No,,
CUST-00092,Female,0,Yes,No,35,35,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.05,2595.08,74.15,2.8524,Brazil,1,0,BRL,No,,
CUST-00093,Female,0,No,Yes,4,4,Yes,Yes,DSL,,No,Yes,No,No,One year,Yes,Electronic check,36.88,159.6,39.9,22.9639,Brazil,1,0,BRL,No,,
CUST-00094,Female,0,Yes,Yes,13,12,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,69.32,964.52,74.19,7.1796,Brazil,1,0,BRL,No,,
CUST-00095,Female,0,No,No,26,26,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card,55.25,1426.66,54.87,3.87,Brazil,1,0,BRL,No,,
CUST-00096,Female,0,No,No,54,54,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,96.56,5193.79,96.18,1.8588,Brazil,1,0,BRL,Yes,,
CUST-00097,Female,0,Yes,Yes,1,1,Yes,Yes,Fiber optic,,No,No,Yes,No,Month-to-month,No,Electronic check,48.49,0.0,0.0,4849.0,Brazil,1,0,BRL,No,,
CUST-00098,Female,0,Yes,No,8,7,Yes,Yes,DSL,No,No,No,No,Yes,Two year,No,Electronic check,64.1,540.17,67.52,11.8447,Brazil,1,0,BRL,No,,
CUST-00099,Male,0,Yes,Yes,66,65,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,51.8,3586.21,54.34,1.444,Brazil,1,0,BRL,No,,
CUST-00100,Male,0,Yes,No,1,1,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.95,19.82,19.82,148.6551,Brazil,1,0,BRL,No,,
CUST-00101,Female,1,No,No,6,5,Yes,No,DSL,Yes,Yes,No,Yes,No,Two year,No,Electronic check,83.92,526.12,87.69,15.9205,Brazil,1,0,BRL,Yes,,
CUST-00102,Female,1,No,No,72,72,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Electronic check,73.24,5245.89,72.86,1.3959,Brazil,1,0,BRL,Yes,,
CUST-00103,Female,1,Yes,No,28,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,One year,Yes,Bank transfer,113.8,3122.34,111.51,3.6435,Brazil,1,0,BRL,No,,
CUST-00104,Female,1,Yes,No,9,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Bank transfer,118.36,1086.95,120.77,10.8792,Brazil,1,0,BRL,Yes,,
CUST-00105,Female,0,Yes,Yes,2,2,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,66.44,,67.14,49.1093,Brazil,1,0,BRL,Yes,,
CUST-00106,Female,0,No,No,1,1,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Mailed check,90.83,0.0,0.0,9083.0,Brazil,1,0,BRL,Yes,,50.8
CUST-00107,Female,0,Yes,Yes,8,7,Yes,No,DSL,No,No,No,No,No,Two year,Yes,Credit card,51.5,492.5,61.56,10.4357,Brazil,1,0,BRL,No,,
CUST-00108,Female,0,No,No,63,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,30.06,1914.58,30.39,1.5692,Brazil,1,0,BRL,No,LP003,
CUST-00109,Male,0,No,No,16,15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,One year,No,Electronic check,88.74,1423.53,88.97,6.2294,Brazil,1,0,BRL,Yes,,
CUST-00110,Female,0,No,No,38,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,Two year,No,Electronic check,69.52,2620.66,68.96,2.6518,Brazil,1,0,BRL,No,,
CUST-00111,Male,0,Yes,No,72,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,46.25,3350.26,46.53,1.3801,Brazil,1,0,BRL,No,,
CUST-00112,Female,0,No,No,15,15,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.2,805.57,53.7,6.4718,Brazil,1,0,BRL,Yes,LP002,
CUST-00113,Female,0,Yes,No,6,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,120.0,740.07,123.35,16.1928,Brazil,1,0,BRL,Yes,,53.0
CUST-00114,Male,0,Yes,Yes,21,21,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,86.45,1868.85,88.99,4.6234,Brazil,1,0,BRL,No,,
CUST-00115,Female,0,No,No,71,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,75.09,5396.15,76.0,1.3913,Brazil,1,0,BRL,No,,
CUST-00116,Male,0,No,No,48,48,Yes,Yes,DSL,No,No,Yes,No,No,One year,No,Electronic check,71.33,3524.12,73.42,2.0235,Brazil,1,0,BRL,No,,
CUST-00117,Female,1,Yes,No,2,2,Yes,Yes,DSL,No,No,Yes,No,Yes,Two year,Yes,Mailed check,30.17,18.5,9.25,154.7179,Brazil,1,0,BRL,No,,
CUST-00118,Female,0,Yes,No,35,35,Yes,No,Fiber optic,Yes,,No,No,Yes,Two year,No,Credit card,91.66,3179.43,90.84,2.882,Brazil,1,0,BRL,Yes,,57.5
CUST-00119,Male,0,Yes,Yes,25,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.54,606.56,24.26,3.8745,Brazil,1,0,BRL,No,LP002,
CUST-00120,Female,1,Yes,No,71,71,Yes,Yes,DSL,No,No,Yes,No,No,Two year,No,Bank transfer,25.15,1746.7,24.6,1.439,Brazil,1,0,BRL,No,,
CUST-00121,Male,1,Yes,No,3,3,Yes,No,DSL,Yes,,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.72,94.26,31.42,43.7959,Brazil,1,0,BRL,No,,
CUST-00122,Female,1,Yes,Yes,22,22,Yes,Yes,DSL,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,27.55,629.86,28.63,4.3671,Brazil,1,0,BRL,No,,55.5
CUST-00123,Male,0,Yes,No,63,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.32,1577.2,25.03,1.541,Brazil,1,0,BRL,No,,
CUST-00124,Male,0,No,No,15,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.11,410.45,27.36,5.6167,Brazil,1,0,BRL,No,,
CUST-00125,Female,0,No,No,19,19,Yes,No,Fiber optic,No,Yes,No,No,No,Two year,No,Electronic check,79.94,1509.23,79.43,5.2932,Brazil,1,0,BRL,Yes,,
CUST-00126,Female,0,No,No,2,2,Yes,Yes,No,No internet service,,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.18,83.52,41.76,35.7075,Brazil,1,0,BRL,No,,
CUST-00127,Male,0,Yes,Yes,9,9,Yes,Yes,Fiber optic,No,,No,No,Yes,One year,Yes,Mailed check,55.05,507.59,56.4,10.824,Brazil,1,0,BRL,No,,
CUST-00128,Female,0,No,No,11,12,Yes,Yes,No,,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,28.39,313.17,28.47,9.0365,Brazil,1,0,BRL,No,LP001,
CUST-00129,Female,0,No,No,72,72,Yes,No,DSL,No,,Yes,No,Yes,Two year,No,Electronic check,54.72,3899.04,54.15,1.4031,Brazil,1,0,BRL,No,,49.1
CUST-00130,Female,0,No,No,9,9,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Bank transfer,55.51,452.43,50.27,12.2422,Brazil,1,0,BRL,No,,
CUST-00131,Male,0,No,No,18,18,No,No phone service,Fiber optic,Yes,Yes,No,No,No,One year,Yes,Electronic check,79.1,1457.13,80.95,5.4248,Brazil,1,0,BRL,Yes,,
CUST-00132,Male,0,No,Yes,33,33,No,No phone service,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,120.0,3918.36,118.74,3.0617,Brazil,1,0,BRL,Yes,,
CUST-00133,Male,0,No,Yes,5,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,82.53,323.8,64.76,25.4095,Brazil,1,0,BRL,Yes,,
CUST-00134,Male,0,Yes,No,19,19,Yes,No,DSL,No,No,Yes,Yes,No,Two year,Yes,Bank transfer,61.35,1164.06,61.27,5.2658,Brazil,1,0,BRL,No,,
CUST-00135,Male,0,No,No,40,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,One year,Yes,Credit card,82.02,3353.56,83.84,2.445,Brazil,1,0,BRL,No,LP001,
CUST-00136,Male,1,No,No,60,59,Yes,No,DSL,No,Yes,No,No,No,One year,Yes,Credit card,64.79,,62.46,1.7284,Brazil,1,0,BRL,No,,
CUST-00137,Male,0,No,Yes,29,29,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,No,Electronic check,62.16,1788.22,61.66,3.4741,Brazil,1,0,BRL,Yes,,
